aberta,5,4
aberta,5,5
aberta,7,5
aberta,9,8
aberta,5,5
aberta,4,4
aberta,5,4
fechada,36,15
fechada,27,12
fechada,9,5
fechada,11,9
fechada,15,6
fechada,22,7
fechada,11,8
